Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Red Porgy,RAM,2006,296981,SAFMC,SEFSC,LK,0,0,0,0,0,0,0,1,Overfished,Overfished,1,groundfish,No Diet Lab
Red Snapper - South Atlantic,web,2010,127613,SAFMC,SEFSC,KM,1,0,0,1,1,3,0,1,Overfished,Overfished,1,groundfish,No Diet Lab
Snowy Grouper - South Atlantic,web,2013,245837,SAFMC,SEFSC,KM,1,0,0,0,0,3,0,1,Overfished,Overfished,1,groundfish,No Diet Lab
Tilefish - South Atlantic,web,2011,1668022,SAFMC,SEFSC,KM,3,0,0,0,0,0,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Vermilion Snapper - South Atlantic,web,2008,2995245,SAFMC,SEFSC,KM,0,0,0,0,3,3,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
wreckfish - South Atlantic,web,2014,64612,SAFMC,SEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Yellowtail snapper,RAM,2003,292174,SAFMC,SEFSC,LK,1,0,1,1,1,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Brown shrimp Gulf of Mexico,web,2012,245720719,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
Pink shrimp Gulf of Mexico,RAM,2012,14678259,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
White shrimp Gulf of Mexico,RAM,2012,230775707,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
Atlantic surfclam - Mid-Atlantic Coast,web,2013,31722542,MAFMC,NEFSC,KM,3,0,0,0,2,0,0,0,Not Overfished,Not Overfished,0,Invert,Diet Lab
Ocean quahog,web,2009,23651355,MAFMC,NEFSC,KM,3,1,0,0,0,2,0,0,Not Overfished,Not Overfished,0,Invert,Diet Lab
deep sea red crab,RAM,2009,5,NEFMC,NEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,Invert,Diet Lab
Sea Scallop Georges Bank / Mid-Atlantic Bight,web,2014,466920237,NEFMC,NEFSC,KM,3,0,2,2,2,0,0,0,Not Overfished,Not Overfished,0,Invert,Diet Lab
Blue King Crab Saint Matthew,RAM,2013,82869602,NPFMC,ADFG,KM,1,0,0,0,0,3,0,1,Overfished,Overfished,1,Invert,No Diet Lab
Red King Crab Bristol Bay,RAM,2013,82869602,NPFMC,ADFG,KM,1,0,0,2,2.5,3,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
Red King Crab Norton Sound,RAM,2013,82869602,NPFMC,ADFG,KM,1,0,0,0,0,2,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
Blue King Crab Pribilof Islands,RAM,2013,82869602,NPFMC,AFSC,KM,1,0,0,1,2.5,3,1,0,Overfished,Overfished,0,Invert,Diet Lab
Red King Crab Pribilof Islands,RAM,2013,82869602,NPFMC,AFSC,KM,0,0,0,0,2.5,3,0,0,Not Overfished,Not Overfished,0,Invert,Diet Lab
Snow crab Bering Sea,RAM,2013,132369655,NPFMC,AFSC,KM,0,1,0,1,2,3,1,0,Overfished,Not Overfished,0,Invert,Diet Lab
Tanner Crab Bering Sea,RAM,2013,8106713,NPFMC,AFSC,KM,0,0,0,2,2.5,3,1,1,Overfished,Overfished,0,Invert,Diet Lab
Spiny lobster - Southeast US,web,2005,50185930,SA-GM,SEFSC,KM,3,1,1,0,1,0,0,0,Not Overfished,Not Overfished,0,Invert,No Diet Lab
Cobia Gulf of Mexico,WEB,2012,312972,GMFMC,SEFSC,KM,0,0,0,0,1,3,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Greater Amberjack Gulf of Mexico,WEB,2014,1048361,GMFMC,SEFSC,KM,1,0,0,0,0,0,0,1,Overfished,Overfished,1,pelagic,No Diet Lab
King Mackerel Gulf of Mexico,WEB,2014,1956045,GMFMC,SEFSC,KM,1,0,1,0,2,3,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Spanish mackerel Gulf of Mexico,RAM,2013,1352430,GMFMC,SEFSC,KM,0,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Atlantic Mackerel ,RAM,2006,1923049,MAFMC,NEFSC,KM,0,0,0,2,2,0,0,0,Not Overfished,Not Overfished,0,pelagic,Diet Lab
Chinook salmon - California Central Valley: Sacramento River Fall,web,2014,22956869,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Overfished,0,pelagic,No Diet Lab
Chinook salmon - California Central Valley: Sacramento River Winter,web,2014,22956869,PFMC,NW-SW,KM,1,1,0,1,0,1,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,web,2014,16717952,PFMC,NW-SW,KM,1,1,0,1,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,No Diet Lab
